,movie_id,year,rating,running_time,country,age_limit,genre,director,netflix,wavve,tving,disney,watcha,coupang,naver
9905,71190,2018,0.0,94,미국,전체관람가,가족,댄 휴이트 오웬스,0,1,0,0,1,0,1
9906,71191,2017,0.0,107,러시아,청소년관람불가,드라마,바딤 피얼먼,0,1,1,0,1,0,1
9907,71192,2018,0.0,104,미국,15세이상관람가,공포(호러),에디 렝겔,0,0,0,0,0,0,1
9908,71193,2018,0.0,78,미국,청소년관람불가,공포(호러),에로스 단토나,0,0,1,0,1,0,1
9909,71194,2016,0.0,109,미국,15세이상관람가,액션,저스틴 챔버스,0,0,1,0,1,0,0
9910,71195,2018,60.0,118,한국,15세이상관람가,2019.01.17공개,지일주,0,0,0,0,0,0,0
9911,71196,2019,34.04,128,한국,12세이상관람가,드라마,이해준,0,0,1,0,1,1,0
9912,71197,2019,32.61,115,미국,12세이상관람가,코미디,F. 게리 그레이,0,0,0,0,1,0,0
9913,71203,2016,0.0,94,독일,15세이상관람가,액션,크리스티앙 알바트,0,0,0,0,0,0,0
9914,71204,2014,0.0,98,미국,청소년관람불가,드라마,루돌프 뷔텐다흐,0,1,1,0,0,0,1
9915,71205,2018,0.0,90,영국,15세이상관람가,액션,데이비드 L.G. 휴즈,0,1,1,0,0,0,1
9916,71206,2012,0.0,66,미국,전체관람가,애니메이션,스콧 펠로우즈,0,0,0,0,0,0,0
9917,71207,2018,56.36,90,일본,프랑스,싱가포르,에릭 쿠,0,0,0,0,0,0,0
9918,71208,2012,0.0,101,영국,15세이상관람가,액션,스티븐 바커,0,0,0,0,0,0,0
9919,71209,2016,0.0,96,미국,청소년관람불가,드라마,미테시 쿠마르 파텔,0,0,0,0,0,0,0
9920,71210,2014,0.0,80,미국,15세이상관람가,스릴러,미구엘 뮬러,0,1,0,0,1,0,0
9921,71211,2016,0.0,89,미국,15세이상관람가,공포(호러),벤자민 쿠퍼,0,0,0,0,0,0,0
9922,71212,2016,0.0,72,미국,15세이상관람가,스릴러,비탈리 버세이스,0,0,0,0,0,0,0
9923,71213,2013,0.0,90,캄보디아,15세이상관람가,액션,오우돔 터치,0,0,0,0,0,0,0
9924,71214,2015,0.0,89,캐나다,15세이상관람가,공포(호러),크리스 트레빌콕,0,0,0,0,0,0,0
9925,71215,2016,0.0,93,태국,15세이상관람가,공포(호러),콩키앗 콤시리,0,0,0,0,0,0,0
9926,71216,2015,0.0,85,미국,미정,공포(호러),딘 휘트니,0,0,0,0,0,0,0
9927,71217,2016,0.0,134,미국,15세이상관람가,스릴러,조나단 홀브룩,0,0,1,0,0,0,0
9928,71218,2017,0.0,13,한국,전체관람가,드라마,이혜인,0,0,0,0,1,0,0
9929,71219,2016,0.0,89,미국,15세이상관람가,스릴러,데이비드 트로티,0,0,0,0,0,0,0
9930,71220,2018,87.5,4,미국,전체관람가,코미디,없음,0,0,0,0,0,0,0
9931,71221,2015,0.0,85,네덜란드,15세이상관람가,스릴러,마크 베이스트라,0,0,0,0,0,0,0
9932,71222,2016,0.0,83,미국,15세이상관람가,공포(호러),패트릭 레아,0,0,0,0,0,0,0
